name
"Wachs,  Paul"
"Eilenberg,  Richard"
"Strickland,  Lily"
"Stoughton,  Roy  Spaulding"
"Bucharoff [Buchalter],  Simon"
"Cassado [Cassadò],  Gaspar"
"Atterberg,  Kurt"
"Berezowsky,  Nicolai"
"Mouret,  Jean  Joseph"
"Wolfe,  Jacques"
"Willson,  Meredith"
"Balakirev,  Mily  Alekseyevich"
"Coates,  Albert"
"Satie,  Erik"
"Fuleihan,  Anis"
"Bergé,  Irénée"
"Nevin,  Arthur"
"Schmidt,  Franz"
"Conus,  Jules"
"Paer,  Ferdinando"
"De Lamarter,  Eric"
"Clement [Clément],  Charles  Francois [François]"
"Castelnuovo-Tedesco,  Mario"
"Guion,  David  Wendel F."
"Janssen,  Werner"
"Riegel,  Heinrich  Joseph"
"Weinberger,  Jaromir"
"Reed,  William  Henry"
"Lachau,  Countess  Ada  de"
"Cohen,  Sol  B"
"Grunn,  Homer"
"Nerini,  Emile"
"Bach,  Wilhelm  Friedemann"
"Joslyn,  Henry"
"Maduro,  Charles"
"Berg,  Alban"
"Stolzel [Stölzel],  Gottfried  Heinrich"
"Lopatnikoff,  Nikolai"
"Gibbons,  Orlando"
"Destouches,  Andre  Cardinal"
"Noskowski,  Sigismund"
"Sammartini,  Giovanni  B."
"Chasins,  Abram"
"Shostakovich,  Dmitri"
"Bland,  James"
"Cella,  Theodore"
"Bennett,  Robert  Russell"
"Lincke,  Paul"
"Hively,  Wells"
"Stoughton,  Roy"
"Strauss,  Johann, Jr. & Josef"
"Eichheim,  Henry"
"Farley,  Roland"
"Corby,  Mabelanna"
"Cook,  Will  Marion"
"Kern,  Jerome"
"Handy,  William  Christopher"
"Johnson,  Hall"
"Tiomkin,  Dimitri"
"Bishop,  Sir  Henry  Rowley"
"Valerius,  Adriaen"
"Jensen,  Ludwig  Irgens"
"Moore,  Douglas  Stuart"
"Nin,  Joachin"
"Obradors,  Fernando"
"Ettinger,  Max"
"Hopkins,  John  Henry"
"Shepherd,  Arthur"
"Harty,  Hamilton"
"Weprik,  Alexander"
"Mosolov,  Alexander"
"James,  Philip"
"Braine,  Robert"
"Barnett,  David"
"Padilla,  José"
"Green,  John"
"Redman,  Donald  Matthew"
"Still,  William  Grant"
"Grofe [Grofé],  Ferde"
"Loeb,  John  Jacob"
"Ellington,  Duke"
"Humphrey,  Doris"
"Arlen,  Harold"
"Pimsleur,  Solomon"
"Levenson,  Boris"
"Rodriguez [Rodríguez],  Arsenio"
"Thompson,  Randall"
"Manfredini,  Francesco"
"Piston,  Walter"
"Sanders,  Robert  L."
"Franckenstein,  Clemens  Freiherr von und zu"
"Andersen,  Joachim"
"Blumer,  Theodore"
"Chavarri,  Eduardo  Lopez"
"Chavez [Chávez],  Carlos"
"Wiener,  Jean"
"Egk,  Werner"
"Gasco,  Alberto"
"Weill,  Kurt"
"Stringham,  Edwin  S."
"Sacchini,  Antonio"
"Barlow,  Samuel  Latham Mitchell"
"Noble,  T.  Tertius"
"Kelley,  Daniel"
"Barber,  Samuel"
"Sonzogno,  Giulio  Cesare"
"Palau Boix,  Manuel"
"Swift,  Kay"
"Dowland,  John"
"Sammartini,  Giuseppe"
"McBride,  Robert"
"Stamitz,  Carl"
"Gossec,  Francois  Joseph"
"Mozart,  Leopold"
"Piccinni,  Nicola"
"Smyth,  Ethel"
"Walton,  William"
"Boyce,  William"
"Butterworth,  George"
"Knecht,  Justin  Heinrich"
"Baerman,  Heinrich  Joseph"
"Pochon,  Alfred"
"Fiorillo,  Dante"
"Helfter,  Walter"
"Diamond,  Walter"
"Howe,  Mary"
"Kozeluch,  Leopold  Anton"
"Zilcher,  Hermann"
"Ruggles,  Carl"
"Martinu,  Bohuslav"
"Luening,  Otto"
"Spalding,  Albert"
"White,  Paul"
"Andre [André] ,  José"
"Curran,  Pearl"
"Del Riego,  Theresa  Clotilde"
"Kerby,  Paul"
"Espejo,  Cesar"
"Infante,  Manuel"
